仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
nimazareian/<em>quadruped</em>-rl-locomotion,127,Jupyter Notebook,2024-06-20T04:32:06.715Z,Train <em>quadruped</em> locomotion using reinforcement learning in Mujoco,"reinforcement-learning,openai-gym,locomotion,quadruped,mujoco,stable-baselines3,unitree-go1",False,True,770763976,Public
chvmp/robots,269,C,2024-08-19T08:02:15.159Z,Collection of <em>quadrupedal</em> robots configured to work in CHAMP development framework,"simulation,ros,gazebo,spot,quadruped,anymal,spotmicro,opendog,mit-mini-cheetah,aliengo,open-quadruped,littledog,dkitty",False,True,255597844,Public
ziyanx02/multiagent-<em>quadruped</em>-environment,138,Python,2024-04-10T09:27:58.562Z,"A multi-agent <em>quadruped</em> environment, supporting learning of locomotion control or merely high-level planning.",,False,True,741375311,Public
open-dynamic-robot-initiative/master-board,133,C++,2026-05-07T12:09:00.156Z,Hardware and Firmware of the Solo <em>Quadruped</em> Master Board,,False,True,198817879,Public
HybridRobotics/<em>quadruped</em>_nmpc_dcbf_duality,119,C++,2023-01-02T10:12:39.214Z,,,False,True,540979261,Public
rlMWcn/DeepReinforcementLearning-<em>Quadruped</em>RobotTrainingTutorial,42,MATLAB,2021-01-20T06:26:39.595Z,,,False,True,328603290,Public
PingguSoft/esp32_<em>quadruped</em>,59,C++,2024-12-10T09:39:54.737Z,<em>quadrupedal</em> robot using esp32,"robot,esp32,quadruped",False,True,435420135,Public
UMich-CURLY/deep-contact-estimator,113,Python,2021-11-05T19:41:27.557Z,Contact estimation for <em>quadruped</em> robots.,,False,True,279974024,Public
RobotLocomotion/LittleDog,70,MATLAB,2021-04-18T13:47:37.255Z,Example of <em>quadruped</em> planning and control in drake using LittleDog -- a small <em>quadruped</em> robot from Boston Dynamics. ,,False,True,41971422,Public
Freenove/Freenove_<em>Quadruped</em>_Robot_Kit,35,Processing,2026-02-09T08:42:14.372Z,"Apply to FNK0027, FNK0030",,False,True,87636444,Public
ShunyaoWang/<em>quadruped</em>_locomotion,29,C++,2020-08-03T06:33:16.241Z,Develop a <em>quadruped</em> robot locomotion control system,,False,True,160016132,Public
ANYbotics/anymal_b_simple_description,95,CMake,2020-11-11T12:06:12.742Z,Simplified robot description of the ANYmal B <em>quadrupedal</em> robot.,,False,True,180160362,Public
RCILab/RCI_<em>quadruped</em>_robot_navigation,55,C++,2026-02-27T09:41:34.392Z,"This repository integrates reinforcement learning (RL), navigation, and the Open-RMF to enable autonomous driving for the Unitree Go2 and…",,False,True,1038863523,Public
