仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
hellzerg/optimizer,18175,C#,2026-01-20T19:04:47.947Z,The finest Windows <em>Optimizer</em>,"windows,privacy,tweaks,optimize,windows-10,toolbox,windows-8,cleanup,windows-8-1,windows-7,registry-hacks,startup-items,hosts-file,windows-tweaks,registry-tweaks",False,True,103370157,Public archive
HIPS/Spearmint,1569,Python,2019-12-27T21:30:17.916Z,Spearmint Bayesian <em>optimization</em> codebase,,False,True,22654179,Public
apache/incubator-pagespeed-ngx,4344,C++,2023-04-21T14:50:27.308Z,Automatic PageSpeed <em>optimization</em> module for Nginx,pagespeed,False,True,4766638,Public archive
facebookarchive/prepack,14117,JavaScript,2022-02-11T05:19:57.379Z,A JavaScript bundle <em>optimizer</em>.,"javascript,optimization",False,True,45147841,Public archive
XiaoMi/soar,8773,Go,2023-12-15T09:13:07.521Z,SQL <em>Optimizer</em> And Rewriter,"mysql,syntax,sql,database,command-line,rewrite,optimizer,indexing,suggestion,advisor,auditor",False,True,152058245,Public
VROOM-Project/vroom,1758,C++,2026-05-11T15:28:39.393Z,Vehicle Routing Open-source <em>Optimization</em> Machine,"optimization,solver,vehicle-routing-problem,vrp,logistics,tsp,delivery,travelling-salesman,cvrp,vroom,pickup,vrptw,pdptw",False,True,41960855,Public
dcajasn/Riskfolio-Lib,4208,C++,2026-05-22T07:00:11.912Z,Portfolio <em>Optimization</em> and Quantitative Strategic Asset Allocation in Python,"finance,trading,portfolio-optimization,sharpe-ratio,quantitative-finance,investment,cvxpy,convex-optimization,asset-allocation,stepwise-regression,investment-analysis,principal-components-regression,risk-factors,portfolio-management,risk-parity,efficient-frontier,drawdown-model,duration-matching,cvar-optimization,risk-contribution",True,True,244460835,Public
cvxpy/cvxpylayers,2095,Python,2026-05-19T19:53:38.502Z,Differentiable convex <em>optimization</em> layers,,False,True,217926330,Public
hyperopt/hyperopt-sklearn,1648,Python,2025-04-15T17:15:54.583Z,Hyper-parameter <em>optimization</em> for sklearn,,False,True,8293893,Public
microsoft/PromptWizard,3867,Python,2025-10-13T21:51:01.360Z,Task-Aware Agent-driven Prompt <em>Optimization</em> Framework,,False,True,808015120,Public
JuliaNLSolvers/Optim.jl,1200,Julia,2026-05-22T11:28:09.971Z,<em>Optimization</em> functions for Julia,"optimization,julia,optim,optimisation,unconstrained-optimization,unconstrained-optimisation",False,True,3933868,Public
Unity-Technologies/AutoLOD,2049,C#,2024-02-29T15:25:11.394Z,Automatic LOD generation + scene <em>optimization</em>,"unity,unity-editor",False,True,116991856,Public
cvxgrp/cvxportfolio,1206,Python,2026-04-27T14:11:17.562Z,Portfolio <em>optimization</em> and back-testing.,"python,finance,time-series,optimization,optimizer,portfolio-optimization,optimization-methods,optimization-algorithms,convex-optimization",False,True,78590085,Public
firebase/FirebaseUI-Android,4791,Kotlin,2026-05-22T08:49:08.135Z,<em>Optimized</em> UI components for Firebase,"android,firebase,ui",False,True,38835213,Public
aidenybai/million,17568,TypeScript,2026-05-20T16:10:55.497Z,<em>Optimizing</em> compiler for React,"react,virtual-dom,performance,preact,compiler,optimization,memo,rendering,best-practices,optimize,renderer,hacktoberfest,million,react-hooks,millionjs,blockdom,react-optimize",True,True,372046384,Public
YouHaveTrouble/minecraft-<em>optimization</em>,2818,,2026-03-21T18:52:20.060Z,Minecraft server <em>optimization</em> guide,"minecraft,bukkit,spigot,paper,guide,minecraft-servers,lag,airplane,hacktoberfest,pufferfish,tuinity,purpur,server-jars,java-startup-flags,minecraft-optimization",True,True,325100787,Public
jettify/pytorch-optimizer,3167,Python,2024-03-22T11:10:03.820Z,torch-<em>optimizer</em> -- collection of <em>optimizers</em> for Pytorch,"apollo,optimizer,pytorch,hacktoberfest,lookahead,lamb,shampoo,yogi,adabound,swats,novograd,diffgrad,adamod,accsgd,sgdp,adabelief",False,True,231503549,Public
mksglu/context-mode,15476,TypeScript,2026-05-23T16:04:35.922Z,"Context window <em>optimization</em> for AI coding agents. Sandboxes tool output, 98% reduction. 15 platforms","skills,mcp,opencode,copilot,codex,claude,zed-extension,antigravity,mcp-server,mcp-tools,cursor-plugin,claude-code,codex-cli,kiro,claude-code-hooks,claude-code-plugins,claude-code-skill,pi-agent,openclaw,context-mode",True,True,1164477708,Public
facebookresearch/nevergrad,4189,Python,2026-03-16T18:14:16.253Z,A Python toolbox for performing gradient-free <em>optimization</em>,,False,True,158468845,Public
zeux/meshoptimizer,7676,C++,2026-05-21T17:26:31.503Z,Mesh <em>optimization</em> library that makes meshes smaller and faster to render,"compression,gpu,optimization,simplification,gltf,mesh-processing",False,True,67768325,Public
joschu/trajopt,459,C++,2022-12-05T10:51:27.638Z,Trajectory <em>Optimization</em>,,False,True,7291235,Public
GoogleChromeLabs/webpack-libs-<em>optimizations</em>,3341,,2022-11-12T19:25:48.614Z,Using a library in your webpack project? Here’s how to <em>optimize</em> it,"performance,webpack,frontend",False,True,118178782,Public archive
TUMFTM/global_racetrajectory_<em>optimization</em>,579,Python,2023-07-06T21:54:27.145Z,This repository contains multiple approaches for generating global racetrajectories. ,,False,True,187794915,Public
