仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
openai/glide-text2im,3690,Python,2024-03-08T08:44:28.608Z,GLIDE: a <em>diffusion</em>-based text-conditional image synthesis <em>model</em>,,False,True,437090199,Public
cloneofsimo/lora,7539,Jupyter Notebook,2024-03-22T03:48:10.947Z,Using Low-rank adaptation to quickly fine-tune <em>diffusion</em> <em>models</em>.,"lora,diffusion,fine-tuning,stable-diffusion,dreambooth",False,True,575628616,Public
wangjia184/<em>diffusion</em>_<em>model</em>,313,SCSS,2024-12-25T09:13:10.451Z,An online playground of <em>diffusion</em> <em>model</em>,,False,True,605808067,Public
ML-GSAI/LLaDA,3796,Python,2025-11-12T02:30:01.247Z,"Official PyTorch implementation for ""Large Language <em>Diffusion</em> <em>Models</em>""",,False,True,932356580,Public
thu-ml/Turbo<em>Diffusion</em>,3506,Python,2026-04-15T14:45:03.897Z,TurboDiffusion: 100–200× Acceleration for Video <em>Diffusion</em> <em>Models</em>,"rcm,distillation,video-generation,mlsystem,diffusion-models,inference-acceleration,ai-infra,consistency-model,sageattention,sparse-linear-attention",False,True,1110932933,Public
replicate/cog-stable-<em>diffusion</em>,653,Python,2023-12-04T14:58:52.572Z,Diffusers Stable <em>Diffusion</em> as a Cog <em>model</em>,,False,True,527740274,Public
chuanyangjin/fast-DiT,948,Python,2025-08-17T19:39:28.179Z,Fast <em>Diffusion</em> <em>Models</em> with Transformers,,False,True,641614801,Public
Ryota-Kawamura/How-<em>Diffusion</em>-Models-Work,175,Jupyter Notebook,2024-01-07T18:28:12.575Z,"In How <em>Diffusion</em> <em>Models</em> Work, you will gain a deep familiarity with the <em>diffusion</em> process and the <em>models</em> which carry it out. More than si…","training,neural-network,context,sampling,controlling,diffusion-models,speeding-up,fast-sampling",False,True,649504476,Public
AILab-CVC/VideoCrafter,5057,Python,2026-01-09T15:01:22.710Z,VideoCrafter2: Overcoming Data Limitations for High-Quality Video <em>Diffusion</em> <em>Models</em>,"video-generation,image-to-video,text-to-video",False,True,622894885,Public
archinetai/audio-<em>diffusion</em>-pytorch,2102,Python,2023-06-12T22:40:16.542Z,"Audio generation using <em>diffusion</em> <em>models</em>, in PyTorch.","deep-learning,artificial-intelligence,denoising-diffusion,audio-generation",True,True,511492785,Public
tdrussell/<em>diffusion</em>-pipe,1956,Python,2026-05-19T17:28:11.577Z,A pipeline parallel training script for <em>diffusion</em> <em>models</em>.,,False,True,837439089,Public
lixinustc/Awesome-<em>diffusion</em>-<em>model</em>-for-image-processing,944,,2026-04-08T12:26:45.559Z,"one summary of <em>diffusion</em>-based image processing, including restoration, enhancement, coding, quality assessment","image-processing,diffusion-models",False,True,631829946,Public
magic-research/magic-animate,10903,Python,2025-08-29T03:12:58.948Z,"[CVPR 2024] Official repository for ""MagicAnimate: Temporally Consistent Human Image Animation using <em>Diffusion</em> <em>Model</em>""",,False,True,721522144,Public
chq1155/A-Survey-on-Generative-<em>Diffusion</em>-<em>Model</em>,972,,2023-10-18T10:45:40.510Z,,,False,True,536081536,Public
yyysjz1997/Awesome-TimeSeries-SpatioTemporal-<em>Diffusion</em>-<em>Model</em>,984,,2026-02-05T15:21:56.484Z,"A survey and paper list of current <em>Diffusion</em> <em>Model</em> for Time Series and SpatioTemporal Data with awesome resources (paper, application, re…",,False,True,702600785,Public
JeongJiHeon/Score<em>DiffusionModel</em>,361,Jupyter Notebook,2024-06-02T14:22:23.655Z,The Pytorch Tutorial of Score-based and <em>Diffusion</em> <em>Model</em>,"pytorch,diffusion-models,score-based,score-based-generative-models",False,True,477657302,Public
HumanAIGC/EMO,7619,,2024-08-21T09:40:06.717Z,Emote Portrait Alive: Generating Expressive Portrait Videos with Audio2Video <em>Diffusion</em> <em>Model</em> under Weak Conditions,,False,True,764039167,Public
