仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
NVIDIA-Merlin/<em>Transformers4Rec</em>,1268,Python,2026-03-12T04:50:33.618Z,Transformers4Rec is a flexible and efficient library for sequential and session-based recommendation and works with PyTorch.,"nlp,tabular-data,pytorch,transformer,seq2seq,recsys,recommender-system,gtp,language-model,bert,huggingface,xlnet,session-based-recommendation",False,True,358017583,Public
cmhungsteve/Awesome-<em>Transformer</em>-Attention,5035,,2024-07-30T06:57:18.077Z,"An ultimately comprehensive paper list of Vision <em>Transformer</em>/Attention, including papers, codes, and related websites","computer-vision,deep-learning,transformers,transformer,awesome-list,vit,papers,attention-mechanism,attention-mechanisms,self-attention,transformer-architecture,transformer-models,detr,vision-transformer,transformer-cv,transformer-with-cv,transformer-awesome,visual-transformer",False,True,406653146,Public
HarderThenHarder/<em>transformers</em>_tasks,2423,Jupyter Notebook,2023-09-29T10:58:39.659Z,"⭐️ NLP Algorithms with <em>transformers</em> lib. Supporting Text-Classification, Text-Generation, Information-Extraction, Text-Matching, RLHF, SF…","nlp,reinforcement-learning,text-classification,transformers,text-generation,information-extraction,text-matching",False,True,565372076,Public
google-research/text-to-text-transfer-<em>transformer</em>,6519,Python,2026-01-14T15:00:59.571Z,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text <em>Transformer</em>""",,False,True,215890886,Public
lucidrains/vit-pytorch,25201,Python,2026-05-19T16:22:32.415Z,"Implementation of Vision <em>Transformer</em>, a simple way to achieve SOTA in vision classification with only a single <em>transformer</em> encoder, in Py…","computer-vision,transformers,artificial-intelligence,image-classification,attention-mechanism",False,True,300996055,Public
openai/finetune-<em>transformer</em>-lm,2297,Python,2019-01-25T09:52:16.791Z,"Code and model for the paper ""Improving Language Understanding by Generative Pre-Training""",paper,False,True,136881491,Public archive
microsoft/table-<em>transformer</em>,2906,Python,2024-06-24T13:41:20.383Z,Table <em>Transformer</em> (TATR) is a deep learning model for extracting tables from unstructured documents (PDFs and images). This is also the o…,"table-extraction,table-detection,table-structure-recognition,table-functional-analysis",False,True,368293480,Public
dk-liang/Awesome-Visual-<em>Transformer</em>,3582,,2025-01-07T01:59:49.659Z,Collect some papers about <em>transformer</em> with vision. Awesome <em>Transformer</em> with Computer Vision (CV),"transformer,detr,transformer-cv,transformer-with-cv,transformer-awesome,visual-transformer",False,True,318087408,Public
thuml/i<em>Transformer</em>,2121,Python,2025-07-17T15:53:48.935Z,"Official implementation for ""iTransformer: Inverted <em>Transformers</em> Are Effective for Time Series Forecasting"" (ICLR 2024 Spotlight)","transformer,time-series-forecasting",False,True,707007525,Public
hkproj/pytorch-<em>transformer</em>,1218,Jupyter Notebook,2024-06-08T09:12:05.074Z,Attention is all you need implementation,"pytorch,transformer,paper-implementations,attention-is-all-you-need",False,True,642337906,Public
openai/<em>transformer</em>-debugger,4114,Python,2026-04-15T17:10:05.998Z,,,False,True,770650220,Public
eclipse-transformer/<em>transformer</em>,155,Java,2026-05-22T10:30:54.980Z,"Eclipse <em>Transformer</em> provides tools and runtime components that transform Java binaries, such as individual class files and complete JARs …","java,renaming-rules,jakarta,eclipse-transformer",False,True,267118495,Public
mattt/<em>Transformer</em>Kit,837,Objective-C,2021-10-01T08:35:17.799Z,"A block-based API for NSValueTransformer, with a growing collection of useful examples.","swift,objective-c,data-transformation,nsvaluetransformer",False,True,6622224,Public
datawhalechina/learn-nlp-with-<em>transformers</em>,3239,Shell,2024-08-18T12:14:29.694Z,we want to create a repo to illustrate usage of <em>transformers</em> in chinese,"nlp,transformer,bert",False,True,356890543,Public
huggingface/course,3932,MDX,2026-05-13T16:01:01.385Z,The Hugging Face course on <em>Transformers</em>,"nlp,deep-learning,transformers,hacktoberfest",False,True,395688425,Public
jessevig/bertviz,8067,Python,2026-01-08T22:38:46.354Z,BertViz: Visualize Attention in <em>Transformer</em> Models,"visualization,nlp,machine-learning,natural-language-processing,neural-network,transformers,pytorch,transformer,bert,roberta,gpt2",False,True,162021652,Public
