仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
nicholas-maltbie/OpenKCC,773,C#,2023-09-15T06:06:13.119Z,Open Source <em>Kinematic</em> Character Controller for Unity,"game-development,unity3d,character-cotnroller",False,True,416635803,Public
jdj2261/pykin,80,Python,2025-04-21T09:16:33.083Z,Python robot's <em>kinematics</em> library,"python,robotics,kinematics,collision-checking",False,True,391910715,Public
Lukaszm94/RobotSimulator,46,C++,2016-05-27T19:10:13.506Z,6-DOF robot forward and inverse <em>kinematics</em> + visualisation,,False,True,59857205,Public
StanfordASL/frax,284,Python,2026-05-20T05:24:28.329Z,Fast Robot <em>Kinematics</em> and Dynamics in JAX,,False,True,1201766215,Public
rpiRobotics/ik-geo,196,C++,2025-10-27T00:38:02.785Z,"Inverse <em>kinematics</em> and subproblem solutions from ""IK-Geo: Unified robot inverse <em>kinematics</em> using subproblem decomposition"" implemented in…",,False,True,509588473,Public
grotius-cnc/skynet_robot_control_rtos_ethercat,116,,2022-01-05T04:21:33.571Z,"Realtime 6-axis robot controller, based on Qt C++ &amp; OpenCascade &amp; KDL <em>kinematics</em> &amp; HAL","robot,hal,opencascade,kdl-kinematics",False,True,309120815,Public
Jmeyer1292/opw_<em>kinematics</em>,96,C++,2026-04-20T18:05:56.846Z,"Closed form IK for parallel base, spherical wrist industrial manipulators",,False,True,107891838,Public
uw-biorobotics/IKBT,216,Python,2026-01-30T00:53:06.512Z,A python package to solve robot arm inverse <em>kinematics</em> in symbolic form,"python,ai,math,robotics,kinematics,symbolic",False,True,104386447,Public
dabeschte/VRArmIK,169,C#,2020-06-23T13:35:00.547Z, Unity Inverse <em>Kinematics</em> solution for arms in VR,"unity,animation,vr,unity3d,virtual-reality,inverse-kinematics,arms",False,True,136157976,Public
ros/geometry,178,C++,2025-05-31T17:00:32.055Z,"Packages for common geometric calculations including the ROS transform library, ""tf"". Also includes ROS bindings for ""bullet"" physics eng…",,False,True,8787327,Public archive
Kurble/bevy_mod_inverse_<em>kinematics</em>,163,Rust,2026-05-11T07:44:29.605Z,An inverse <em>kinematics</em> plugin for the Bevy engine,,False,True,537911756,Public
sebastianstarke/BioIK,145,,2021-10-13T01:07:23.143Z,Generic Evolutionary Inverse <em>Kinematics</em> for Unity3D,,False,True,98437407,Public
