仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
sktime/sktime,9771,Python,2026-05-20T23:09:27.402Z,A unified framework for machine learning with <em>time</em> <em>series</em>,"data-science,machine-learning,data-mining,ai,time-series,scikit-learn,forecasting,hacktoberfest,time-series-analysis,anomaly-detection,time-series-classification,time-series-regression,time-series-segmentation,sktime,changepoint-detection",True,True,156401841,Public
RedisTimeSeries/Redis<em>TimeSeries</em>,1068,C,2026-05-20T17:40:04.082Z,<em>Time</em> <em>Series</em> data structure for Redis,"redis,timeseries,redis-module,timeseries-database,redistimeseries",False,True,116659368,Public
eai2x/<em>Time</em>-<em>Series</em>-Analysis-Tutorial,905,Jupyter Notebook,2021-06-01T17:59:12.473Z,<em>time</em> <em>series</em> analysis tutorial,"python3,time-series-analysis,time-series-forecasting",False,True,354266626,Public template
blue-yonder/tsfresh,9221,Jupyter Notebook,2025-11-15T15:14:13.130Z,Automatic extraction of relevant features from <em>time</em> <em>series</em>:,"data-science,time-series,feature-extraction",False,True,71996613,Public
laiguokun/multivariate-<em>time</em>-<em>series</em>-data,889,,2017-04-09T18:19:32.806Z,,,False,True,82130264,Public
taosdata/TDengine,24861,C,2026-05-23T10:59:01.614Z,"High-performance, scalable <em>time</em>-<em>series</em> database designed for Industrial IoT (IIoT) scenarios","iot,sql,database,monitoring,time-series,metrics,cluster,bigdata,scalability,distributed,cloud-native,financial-analysis,tsdb,time-series-database,connected-vehicles,industrial-iot,tdengine",False,True,196353673,Public
PacktPublishing/Practical-<em>Time</em>-<em>Series</em>-Analysis,415,Jupyter Notebook,2023-01-30T08:34:37.862Z,"Practical <em>Time</em>-<em>Series</em> Analysis, published by Packt",,False,True,104976437,Public
Jenniferz28/<em>Time</em>-<em>Series</em>-ARIMA-XGBOOST-RNN,764,Python,2019-10-02T15:51:32.632Z,"<em>Time</em> <em>series</em> forecasting for individual household power prediction: ARIMA, xgboost, RNN",,False,True,110590147,Public
VictoriaMetrics/VictoriaMetrics,17045,Go,2026-05-22T21:40:25.141Z,"VictoriaMetrics: fast, cost-effective monitoring solution and <em>time</em> <em>series</em> database","kubernetes,database,monitoring,influxdb,grafana,graphite,prometheus,opentsdb,tsdb,observability,promql,thanos,opentelemetry",False,True,150954997,Public
marcopeix/<em>time</em>-<em>series</em>-analysis,432,Jupyter Notebook,2026-03-31T18:03:14.807Z,Collection of notebooks for <em>time</em> <em>series</em> analysis,,False,True,260786031,Public
questdb/questdb,16973,Java,2026-05-23T14:49:59.867Z,"QuestDB is a high performance, open-source, <em>time</em>-<em>series</em> database","java,sql,database,time-series,cpp,grafana,postgresql,simd,olap,market-data,parquet,low-latency,kdb,financial-analysis,tsdb,real-time-analytics,time-series-database,tick-data,capital-markets,questdb",False,True,19257422,Public
jiwidi/<em>time</em>-<em>series</em>-forecasting-with-python,693,Jupyter Notebook,2023-05-23T00:40:47.232Z,A use-case focused tutorial for <em>time</em> <em>series</em> forecasting with python,"python,machine-learning,time-series,time-series-analysis,time-series-prediction,time-series-forecasting,python-time-series",False,True,261856630,Public
amazon-science/chronos-forecasting,5347,Python,2026-04-21T13:05:51.170Z,Chronos: Pretrained Models for <em>Time</em> <em>Series</em> Forecasting,"machine-learning,timeseries,time-series,transformers,artificial-intelligence,forecasting,pretrained-models,time-series-forecasting,huggingface,huggingface-transformers,foundation-models,large-language-models,llm",False,True,762224673,Public
JuliaStats/<em>TimeSeries</em>.jl,369,Julia,2026-03-30T15:44:36.592Z,<em>Time</em> <em>series</em> toolkit for Julia,,False,True,7288296,Public
Azure/DeepLearningFor<em>TimeSeries</em>Forecasting,684,Jupyter Notebook,2020-11-13T18:01:31.991Z,A tutorial demonstrating how to implement deep learning models for <em>time</em> <em>series</em> forecasting,,False,True,148117979,Public archive
hfawaz/dl-4-tsc,1659,Python,2023-03-18T00:30:12.513Z,Deep Learning for <em>Time</em> <em>Series</em> Classification,"review,deep-neural-networks,deep-learning,convolutional-neural-networks,research-paper,time-series-classification,empirical-research",False,True,148122792,Public
yangwohenmai/<em>TimeSeries</em>Forecasting,298,Python,2020-11-30T00:40:04.203Z,"基于统计学的时间序列预测(AR,ARM).",,False,True,161890118,Public
kairosdb/kairosdb,1760,Java,2026-03-05T22:27:54.128Z,Fast scalable <em>time</em> <em>series</em> database,"java,timeseries,metrics,kairosdb,timeseries-database",False,True,8039659,Public
PlotJuggler/PlotJuggler,5914,C++,2026-05-11T12:46:31.720Z,The <em>Time</em> <em>Series</em> Visualization Tool that you deserve.,"mqtt,chart,csv,lua,time-series,plot,qt5,ros,px4,visualize-data,rosbag,ulog,labstreaminglayer",False,True,52909975,Public
PacktPublishing/Modern-<em>Time</em>-<em>Series</em>-Forecasting-with-Python,551,Jupyter Notebook,2026-04-22T08:20:51.549Z,"Modern <em>Time</em> <em>Series</em> Forecasting with Python, published by Packt",,False,True,384421456,Public
lmmentel/awesome-<em>time</em>-<em>series</em>,689,,2025-07-26T23:03:51.812Z,Resources for working with <em>time</em> <em>series</em> and sequence data,"python,machine-learning,database,time-series,time-series-database,time-series-analysis,anomaly-detection,time-series-classification,time-series-prediction,time-series-forecasting,time-series-data-mining",False,True,421593817,Public
mlpotter/Transformer_<em>Time</em>_<em>Series</em>,599,Jupyter Notebook,2023-02-19T15:06:53.953Z,Enhancing the Locality and Breaking the Memory Bottleneck of Transformer on <em>Time</em> <em>Series</em> Forecasting (NeurIPS 2019),"visualization,time-series,transformer,lstm,attention",False,True,290229144,Public
hzy46/TensorFlow-<em>Time</em>-<em>Series</em>-Examples,478,Python,2018-05-14T16:12:33.022Z,<em>Time</em> <em>Series</em> Prediction with tf.contrib.timeseries,,False,True,100003921,Public
timescale/<em>timescaledb</em>,22702,C,2026-05-23T15:29:21.770Z,A <em>time</em>-<em>series</em> database for high-performance real-<em>time</em> analytics packaged as a Postgres extension,"iot,postgres,sql,database,time-series,analytics,postgresql,financial-analysis,tsdb,hacktoberfest,time-series-database,timescaledb,tigerdata",False,True,84240850,Public
BenjiKCF/Neural-Net-with-Financial-<em>Time</em>-<em>Series</em>-Data,763,Jupyter Notebook,2020-12-15T13:04:14.538Z,"This solution presents an accessible, non-trivial example of machine learning (Deep learning) with financial <em>time</em> <em>series</em> using TensorFlow",,False,True,85841405,Public
