仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
luispedro/mahotas,883,Python,2026-05-10T23:20:43.620Z,<em>Computer</em> <em>Vision</em> in Python,"python,c-plus-plus,computer-vision,numpy,python-3,python-2",False,True,495613,Public
A9T9/RPA,1912,JavaScript,2026-05-15T19:55:50.106Z,"Ui.<em>Vision</em> Open-Source RPA Software with <em>Computer</em> <em>Vision</em>, OCR, Anthropic <em>Computer</em> Use/LLM. Selenium IDE import/export.","web-scraping,browser-extension,imacros,selenium-ide,browser-automation,web-automation,data-driven-tests,anthropic,anthropic-claude,computer-use",False,True,99379143,Public
dk-liang/Awesome-Visual-Transformer,3582,,2025-01-07T01:59:49.659Z,Collect some papers about transformer with <em>vision</em>. Awesome Transformer with <em>Computer</em> <em>Vision</em> (CV),"transformer,detr,transformer-cv,transformer-with-cv,transformer-awesome,visual-transformer",False,True,318087408,Public
mesutpiskin/<em>computer</em>-<em>vision</em>-guide,415,Python,2026-05-18T07:54:26.117Z,📖 This guide is to help you understand the basics of the computerized image and develop <em>computer</em> <em>vision</em> projects with OpenCV. Includes Py…,"opencv,machine-learning,deep-neural-networks,computer-vision,deep-learning,camera-calibration,image-processing,feature-extraction,image-classification,face-recognition,object-detection,optical-character-recognition,background-subtraction,stereo-vision,image-preprocessing,image-filtering,goruntu-isleme",True,True,149124288,Public
aws-samples/aws-machine-learning-university-accelerated-cv,1612,Jupyter Notebook,2024-10-12T23:50:58.095Z,Machine Learning University: Accelerated <em>Computer</em> <em>Vision</em> Class,"python,machine-learning,computer-vision,deep-learning,mxnet,gluon,gluoncv",False,True,283613150,Public
intel-iot-devkit/python-cv-samples,278,,2023-01-03T22:57:31.688Z,Python <em>computer</em> <em>vision</em> samples,,False,True,112418931,Public archive
milaan9/Python_<em>Computer</em>_<em>Vision</em>_from_Scratch,245,Jupyter Notebook,2022-12-09T21:12:30.140Z,This repository explores the variety of techniques commonly used to analyze and interpret images. It also describes challenging real-worl…,"machine-learning,computer-vision,image-processing,ipython-notebook,feature-extraction,image-manipulation,image-recognition,image-analysis,canny-edge-detection,eigenfaces,hough-lines,sobel-filter,sobel-operator,dtw-algorithm,python4everybody,python4datascience,tutor-milaan9",False,True,440120204,Public
ashishpatel26/365-Days-<em>Computer</em>-<em>Vision</em>-Learning-Linkedin-Post,811,,2022-06-03T05:43:52.432Z,365 Days <em>Computer</em> <em>Vision</em> Learning Linkedin Post,"computer-vision,deep-learning,linkedin,cvpr,iclr,eccv,iclr2018,cvpr2018,eccv-2018,iclr2019,jmlr,cvpr2019,iclr2020,cvpr2020,eccv2020,iclr2021,eccv2019",False,True,331881611,Public
nrsyed/<em>computer-vision</em>,155,Python,2020-11-19T15:38:42.548Z,Various <em>computer</em> <em>vision</em> and OpenCV utilities (Python and C++).,"python,opencv,computer-vision,cpp",False,True,120693407,Public
krishnaik06/<em>Computer</em>-<em>Vision</em>-Tutorial,79,Jupyter Notebook,2020-10-01T12:29:02.575Z,,,False,True,166546667,Public
PacktPublishing/PyTorch-<em>Computer</em>-<em>Vision</em>-Cookbook,312,Jupyter Notebook,2025-12-15T09:50:27.866Z,"PyTorch <em>Computer</em> <em>Vision</em> Cookbook, Published by Packt",,False,True,248713419,Public
Xilinx/PYNQ-<em>ComputerVision</em>,192,Jupyter Notebook,2019-10-04T17:19:12.814Z,<em>Computer</em> <em>Vision</em> Overlays on Pynq,pynq,False,True,120934177,Public
gmalivenko/awesome-<em>computer</em>-<em>vision</em>-models,541,,2021-05-09T08:20:30.011Z,"A list of popular deep learning models related to classification, segmentation and detection problems","machine-learning,awesome,computer-vision,deep-learning,machine-learning-algorithms,image-classification,awesome-list,densenet,resnet,object-detection,semantic-segmentation,mixnet,awesome-lists,computer-vision-algorithms,machine-learning-models,nasnet,diracnet,sknet,efficientnet,proxylessnas",False,True,160491129,Public
extreme-assistant/survey-<em>computer</em>-<em>vision</em>-2020,459,,2021-11-23T08:11:03.153Z,2020-2021年计算机视觉综述论文分方向整理,"review,machine-learning,computer-vision,deep-learning,paper,survey",False,True,332162805,Public
